20231127_211355.jpg, Time: 0.21s, Before: 0.5761079788208008 MB, After: 0.5761079788208008 MB, Compression: 0.00%
20231128_072746.jpg, Time: 0.08s, Before: 0.6751909255981445 MB, After: 0.6751909255981445 MB, Compression: 0.00%
20231128_072829.jpg, Time: 0.07s, Before: 0.6212053298950195 MB, After: 0.6212053298950195 MB, Compression: 0.00%
20231128_073516.jpg, Time: 0.07s, Before: 0.6652050018310547 MB, After: 0.6652050018310547 MB, Compression: 0.00%
20231128_073540.jpg, Time: 0.07s, Before: 0.5426273345947266 MB, After: 0.5426273345947266 MB, Compression: 0.00%
20231128_073617.jpg, Time: 0.07s, Before: 0.678349494934082 MB, After: 0.678349494934082 MB, Compression: 0.00%
20231128_073626.jpg, Time: 0.08s, Before: 0.5994119644165039 MB, After: 0.5994119644165039 MB, Compression: 0.00%
20231128_073629.jpg, Time: 0.06s, Before: 0.7472448348999023 MB, After: 0.7415256500244141 MB, Compression: 0.77%
20231128_073631.jpg, Time: 0.06s, Before: 0.7547292709350586 MB, After: 0.7470359802246094 MB, Compression: 1.02%
20231128_073634.jpg, Time: 0.06s, Before: 0.6386203765869141 MB, After: 0.6386203765869141 MB, Compression: 0.00%
DSC_4965.JPG, Time: 0.12s, Before: 0.9174985885620117 MB, After: 0.9174985885620117 MB, Compression: 0.00%
IMG-20191228-WA0007.jpg, Time: 0.01s, Before: 0.029448509216308594 MB, After: 0.029448509216308594 MB, Compression: 0.00%
IMG-20200113-WA0022.jpg, Time: 0.02s, Before: 0.213409423828125 MB, After: 0.213409423828125 MB, Compression: 0.00%
IMG-20200121-WA0002.jpg, Time: 0.00s, Before: 0.10891246795654297 MB, After: 0.10453319549560547 MB, Compression: 4.02%
IMG-20200121-WA0022.jpg, Time: 0.02s, Before: 0.05763530731201172 MB, After: 0.05607414245605469 MB, Compression: 2.71%
IMG-20200308-WA0010.jpg, Time: 0.00s, Before: 0.12105178833007812 MB, After: 0.1109933853149414 MB, Compression: 8.31%
IMG-20200309-WA0008.jpg, Time: 0.02s, Before: 0.11931324005126953 MB, After: 0.11566734313964844 MB, Compression: 3.06%
IMG-20200601-WA0012.jpg, Time: 0.02s, Before: 0.05622100830078125 MB, After: 0.056018829345703125 MB, Compression: 0.36%
IMG-20200601-WA0016.jpg, Time: 0.00s, Before: 0.044882774353027344 MB, After: 0.044882774353027344 MB, Compression: 0.00%
IMG-20200721-WA0011.jpg, Time: 0.02s, Before: 0.029953956604003906 MB, After: 0.029953956604003906 MB, Compression: 0.00%
IMG-20200801-WA0000.jpg, Time: 0.00s, Before: 0.029831886291503906 MB, After: 0.029831886291503906 MB, Compression: 0.00%
IMG-20200820-WA0005.jpg, Time: 0.01s, Before: 0.029859542846679688 MB, After: 0.029859542846679688 MB, Compression: 0.00%
IMG-20201003-WA0003.jpg, Time: 0.00s, Before: 0.029761314392089844 MB, After: 0.029761314392089844 MB, Compression: 0.00%
IMG-20201031-WA0000.jpg, Time: 0.00s, Before: 0.029735565185546875 MB, After: 0.029735565185546875 MB, Compression: 0.00%
IMG-20201101-WA0002.jpg, Time: 0.01s, Before: 0.02959728240966797 MB, After: 0.02959728240966797 MB, Compression: 0.00%
IMG-20201201-WA0002.jpg, Time: 0.00s, Before: 0.029870986938476562 MB, After: 0.029870986938476562 MB, Compression: 0.00%
IMG-20210106-WA0000.jpg, Time: 0.02s, Before: 0.02970600128173828 MB, After: 0.02970600128173828 MB, Compression: 0.00%
IMG-20210202-WA0005.jpg, Time: 0.00s, Before: 0.029788970947265625 MB, After: 0.029788970947265625 MB, Compression: 0.00%
IMG-20210213-WA0035.jpg, Time: 0.02s, Before: 0.0666513442993164 MB, After: 0.06422138214111328 MB, Compression: 3.65%
IMG-20210213-WA0036.jpg, Time: 0.02s, Before: 0.06946182250976562 MB, After: 0.06693267822265625 MB, Compression: 3.64%
IMG-20210213-WA0038.jpg, Time: 0.00s, Before: 0.06248188018798828 MB, After: 0.05951404571533203 MB, Compression: 4.75%
IMG-20210213-WA0039.jpg, Time: 0.02s, Before: 0.07157707214355469 MB, After: 0.06972980499267578 MB, Compression: 2.58%
IMG-20210402-WA0000.jpg, Time: 0.00s, Before: 0.040099143981933594 MB, After: 0.0395965576171875 MB, Compression: 1.25%
IMG-20211007-WA0000.jpg, Time: 0.01s, Before: 0.14543914794921875 MB, After: 0.13595104217529297 MB, Compression: 6.52%
